2011-01-11 18:28:19 Notice: Notice (8): Undefined index:  url in [APP/app_error.php, line 31]
2011-01-11 18:30:03 Notice: Notice (8): Undefined index:  url in [APP/app_error.php, line 31]
2011-01-11 18:32:32 Notice: Notice (8): Undefined index:  url in [APP/app_error.php, line 31]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  TRANSCODE in [APP/controllers/servers_controller.php, line 3796]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  CCODE in [APP/controllers/servers_controller.php, line 3800]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 3804]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  PRIORITYTYPE in [APP/controllers/servers_controller.php, line 3808]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  NOTTRANSCODE in [APP/controllers/servers_controller.php, line 3812]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  history in [APP/controllers/servers_controller.php, line 3816]
2011-01-11 18:43:58 Notice: Notice (8): Undefined variable: misc_order in [APP/controllers/servers_controller.php, line 3844]
2011-01-11 18:43:58 Notice: Notice (8): Undefined variable: order_trantype in [APP/controllers/servers_controller.php, line 3845]
2011-01-11 18:43:58 Notice: Notice (8): Undefined variable: arrList in [APP/controllers/components/misc_function.php, line 398]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 1726]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 1730]
2011-01-11 18:43:58 Notice: Notice (8): Undefined variable: extra in [APP/controllers/servers_controller.php, line 1757]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 4194]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 2037]
2011-01-11 18:43:58 Notice: Notice (8): Undefined variable: finished in [APP/controllers/servers_controller.php, line 2096]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  day11 in [APP/controllers/servers_controller.php, line 4413]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  maxServiceIndex in [APP/controllers/servers_controller.php, line 2527]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  orderby in [APP/controllers/servers_controller.php, line 2532]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 2540]
2011-01-11 18:43:58 Notice: Notice (8): Undefined index:  hasHonbu in [APP/controllers/servers_controller.php, line 2714]
2011-01-11 18:43:59 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 3667]
2011-01-11 18:44:01 Notice: Notice (8): Undefined index:  TRANSCODE in [APP/controllers/servers_controller.php, line 3796]
2011-01-11 18:44:01 Notice: Notice (8): Undefined index:  CCODE in [APP/controllers/servers_controller.php, line 3800]
2011-01-11 18:44:01 Notice: Notice (8): Undefined index:  PRIORITYTYPE in [APP/controllers/servers_controller.php, line 3808]
2011-01-11 18:44:01 Notice: Notice (8): Undefined index:  NOTTRANSCODE in [APP/controllers/servers_controller.php, line 3812]
2011-01-11 18:44:01 Notice: Notice (8): Undefined index:  history in [APP/controllers/servers_controller.php, line 3816]
2011-01-11 18:44:01 Notice: Notice (8): Undefined variable: misc_order in [APP/controllers/servers_controller.php, line 3844]
2011-01-11 18:44:01 Notice: Notice (8): Undefined variable: order_trantype in [APP/controllers/servers_controller.php, line 3845]
2011-01-11 18:44:01 Notice: Notice (8): Undefined variable: arrList in [APP/controllers/components/misc_function.php, line 398]
2011-01-11 18:44:01 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 1726]
2011-01-11 18:44:01 Notice: Notice (8): Undefined variable: extra in [APP/controllers/servers_controller.php, line 1757]
2011-01-11 18:44:01 Notice: Notice (8): Undefined variable: finished in [APP/controllers/servers_controller.php, line 2096]
2011-01-11 18:44:01 Notice: Notice (8): Undefined index:  day11 in [APP/controllers/servers_controller.php, line 4413]
2011-07-04 18:56:16 Notice: Notice (8): Undefined index:  url in [APP/app_error.php, line 31]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  TRANSCODE in [APP/controllers/servers_controller.php, line 3806]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  CCODE in [APP/controllers/servers_controller.php, line 3810]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 3814]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  PRIORITYTYPE in [APP/controllers/servers_controller.php, line 3818]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  NOTTRANSCODE in [APP/controllers/servers_controller.php, line 3822]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  history in [APP/controllers/servers_controller.php, line 3826]
2011-07-04 19:13:06 Notice: Notice (8): Undefined variable: misc_order in [APP/controllers/servers_controller.php, line 3854]
2011-07-04 19:13:06 Notice: Notice (8): Undefined variable: order_trantype in [APP/controllers/servers_controller.php, line 3855]
2011-07-04 19:13:06 Notice: Notice (8): Undefined variable: arrList in [APP/controllers/components/misc_function.php, line 398]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 1700]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 1704]
2011-07-04 19:13:06 Notice: Notice (8): Undefined variable: extra in [APP/controllers/servers_controller.php, line 1731]
2011-07-04 19:13:06 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 4246]
2011-07-04 19:13:07 Notice: Notice (8): Undefined index:  STAFFCODE in [APP/controllers/servers_controller.php, line 2011]
2011-07-04 19:13:07 Notice: Notice (8): Undefined variable: finished in [APP/controllers/servers_controller.php, line 2070]
2011-07-04 19:13:07 Notice: Notice (8): Undefined index:  maxServiceIndex in [APP/controllers/servers_controller.php, line 2501]
2011-07-04 19:13:07 Notice: Notice (8): Undefined index:  orderby in [APP/controllers/servers_controller.php, line 2506]
2011-07-04 19:13:07 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 2514]
2011-07-04 19:13:07 Notice: Notice (8): Undefined index:  hasHonbu in [APP/controllers/servers_controller.php, line 2688]
2011-07-04 19:13:07 Notice: Notice (8): Undefined index:  page in [APP/controllers/servers_controller.php, line 3677]
2011-07-04 19:13:10 Notice: Notice (8): Undefined index:  TRANSCODE in [APP/controllers/servers_controller.php, line 3806]
2011-07-04 19:13:10 Notice: Notice (8): Undefined index:  CCODE in [APP/controllers/servers_controller.php, line 3810]
2011-07-04 19:13:10 Notice: Notice (8): Undefined index:  PRIORITYTYPE in [APP/controllers/servers_controller.php, line 3818]
